tweet_id,user_id,user_name,created_at,text,full_text,retweets,favorite
1313648153418104832,735315096679919617,bjcmit1,Wed Oct 07 01:11:40 +0000 2020,"Day 36 of #66DaysOfData Learned how to use #Jupyter notebooks directly inside #Microsoft #visualstudio code 
@KenJee_DS",None,1,6
1313644219723112448,1291114285507186690,jaimedatalatte,Wed Oct 07 00:56:02 +0000 2020,"D36. #66daysofdata 

- first #MakeoverMonday submission https://t.co/rpo9YIfphY",None,1,15
1313642259116679168,2149586883,vperez2000,Wed Oct 07 00:48:15 +0000 2020,"#Dia36 de #66daysofdata por @KenJee_DS
Y cual es el problema que quiero resolver? 🤔🤔 La pregunta mas compleja y dif… https://t.co/PhVPAroQ6g","#Dia36 de #66daysofdata por @KenJee_DS
Y cual es el problema que quiero resolver? 🤔🤔 La pregunta mas compleja y dificil. Y parece que estare en esta #busqueda los proximos dias, asi que hare algo aleatorio. Hoy ejercicios de #ESTADISTICA en  📊",0,3
1313642258147803136,2149586883,vperez2000,Wed Oct 07 00:48:15 +0000 2020,"#Day36 of #66daysofdata by 
@KenJee_DS
And what is the problem that I want to solve? 🤔🤔 The trickiest and hardest q… https://t.co/kroAJho6Ti","#Day36 of #66daysofdata by 
@KenJee_DS
And what is the problem that I want to solve? 🤔🤔 The trickiest and hardest question. And seems I will be in this #searching the next days, so I will randomly do something. Today #statistics exercises 📊",0,8
1313635266071089154,422011719,SavyaSachiGupta,Wed Oct 07 00:20:28 +0000 2020,"Day 36 of #66DaysOfData: @KenJee_DS

Hierarchical Clustering: A Bottom-up Approach
⭐️Average, Single &amp; Complete Lin… https://t.co/mQzPOh7vf8","Day 36 of #66DaysOfData: @KenJee_DS

Hierarchical Clustering: A Bottom-up Approach
⭐️Average, Single &amp; Complete Linkage
⭐️Height is distance b/w clusters
⭐️Cut a 'tree' @ a height to achieve clusters

In the tree below:
2 clusters @ Distance=20
3 clusters @ Distance=15 https://t.co/OuoxIz5u8l",0,14
1313634172561321984,1214740859628818432,SripathiMohana1,Wed Oct 07 00:16:07 +0000 2020,"Day 9/100:
working on india housing price prediction hackathon.

Time spent 5 hours. #100daysofcode… https://t.co/jZH7g8lhg0","Day 9/100:
working on india housing price prediction hackathon.

Time spent 5 hours. #100daysofcode #100daysofmlcode #machinehack #datascience #66daysofdata",15,8
1313633538592342016,1300017281666363394,mrvsokolovsky,Wed Oct 07 00:13:36 +0000 2020,Day 36 of #66DaysOfData by @KenJee_DS. It took me another 17 minutes to solve another problem from my homework assi… https://t.co/HJBkUoL142,Day 36 of #66DaysOfData by @KenJee_DS. It took me another 17 minutes to solve another problem from my homework assignment on the Deep learning course. Now the assignment is done and I have some time to study algebra a bit https://t.co/0n55aQEbbl,1,2
1313628981111947264,2527930848,joao96santos,Tue Oct 06 23:55:29 +0000 2020,"17 / #66DaysOfData
• Intro to Machine Learning: DecisionTreeRegressor; mean_absolute_error; Underfitting and Overfi… https://t.co/h2VjsXnRWa","17 / #66DaysOfData
• Intro to Machine Learning: DecisionTreeRegressor; mean_absolute_error; Underfitting and Overfitting; RandomForestRegressor; House Prices Competition for Kaggle Learn Users https://t.co/bsj8v9h0Qj",2,6
1313624258053058561,2225243816,risser_l,Tue Oct 06 23:36:43 +0000 2020,"Day 36 #66daysofdata:
- I studied the Gradient Descent 
- I explored some new services in AWS, Glue and Quicksight",None,0,3
1313623117030453249,1301630535551381506,Tayiablytics,Tue Oct 06 23:32:11 +0000 2020,"Day 34 of #66daysofdata
Supplemented SVM theory by watching videos also watched videos on cross validation &amp; bias a… https://t.co/j2OA8ah1B2","Day 34 of #66daysofdata
Supplemented SVM theory by watching videos also watched videos on cross validation &amp; bias and variance tradeoff by statquest
Similarly started the K Means Clustering module for which I'll do a project for tomorrow 💪",0,2
1313622947433594880,1041554401997942784,MrsCSAmador,Tue Oct 06 23:31:31 +0000 2020,"Day 36 #66DaysofData Over the weekend, I watched a few of @KenJee_DS videos. I really enjoyed the Data Viz Intervie… https://t.co/bgY1U6s3lq","Day 36 #66DaysofData Over the weekend, I watched a few of @KenJee_DS videos. I really enjoyed the Data Viz Interview with @StoryByData!!! Did you all sign up for the conference??? Also, I read about the nature of data, preprocessing, and stats....Now that I'm an intern time is...",1,10
